62,64,65,68,71,73,74,69,62,57,50,47,45,41,38,37,41,47,48,53,58,61,62,64
65,66,71,76,78,77,78,72,65,61,51,42,42,32,31,32,32,35,41,43,46,50,55,60
62,68,69,72,73,74,71,67,57,50,40,36,37,36,36,32,34,31,37,44,51,54,57,59
63,65,67,70,73,76,75,70,62,56,50,42,42,37,31,34,33,36,44,49,49,49,51,56
62,62,62,63,63,65,62,57,50,43,42,42,41,41,39,42,45,50,55,59,60,63,65,70
75,75,74,77,81,85,87,78,68,62,55,53,47,47,48,46,42,50,55,63,65,73,74,78
79,79,78,78,81,80,80,76,66,54,49,43,41,35,34,31,35,34,35,37,42,44,47,46
47,50,55,59,66,68,68,57,50,40,34,36,33,36,31,35,36,35,41,41,46,49,54,52
60,64,68,69,68,72,71,67,58,50,41,37,30,30,28,30,37,43,34,38,45,52,53,58
62,68,70,74,76,79,81,80,79,73,65,63,72,78,78,89,88,81,80,78,78,81,78,77
80,80,81,85,80,81,72,65,58,47,44,45,40,41,36,40,37,41,48,47,50,50,52,55
59,58,58,60,65,75,81,86,85,83,77,70,65,67,72,71,74,74,74,76,80,82,85,82
84,87,88,87,85,85,85,84,84,76,78,87,71,66,65,65,63,65,66,68,70,70,73,79
83,86,88,87,89,91,91,82,70,65,54,48,46,42,39,36,43,48,51,49,53,57,68,73
77,79,81,81,85,88,82,75,70,64,63,61,64,71,75,73,70,69,70,72,72,71,69,73
75,74,76,71,64,62,61,61,61,64,64,69,67,61,61,65,65,71,71,75,76,77,75,81
84,85,85,86,85,84,83,79,84,89,84,79,81,73,69,64,61,60,63,67,66,68,70,72
74,74,73,74,80,79,78,74,69,64,62,58,56,57,60,59,59,60,63,65,67,74,81,81
82,86,87,88,94,97,96,84,77,68,61,56,50,47,49,48,52,56,57,62,68,69,73,76
75,75,77,80,81,84,77,65,56,41,40,35,32,32,31,31,34,35,41,47,53,56,57,57
61,60,59,55,57,61,51,46,33,27,27,24,26,26,26,27,24,28,33,35,41,44,46,47
55,58,65,67,69,73,68,58,52,45,42,39,35,32,35,37,33,33,36,40,41,44,46,51
53,56,59,58,60,62,59,52,46,40,36,31,29,28,26,26,26,24,28,32,35,38,42,45
49,52,63,66,67,67,64,60,60,55,48,53,53,52,51,51,51,51,82,78,73,67,65,66
68,72,79,83,88,89,88,82,76,62,56,47,42,42,38,36,39,42,45,49,52,58,61,65
67,70,73,77,80,81,77,70,61,46,42,38,37,34,34,34,36,36,38,42,60,58,59,67
65,62,61,61,61,63,60,54,52,51,49,46,47,44,45,43,45,49,49,51,50,53,54,57
58,64,68,72,75,76,71,67,59,49,45,44,42,39,36,36,33,39,47,50,48,57,58,61
67,69,69,71,74,74,64,49,44,39,33,31,30,26,24,23,22,21,22,27,31,34,37,42
48,51,54,57,63,65,59,54,46,38,33,32,31,25,21,26,25,25,31,32,34,36,41,47
52,56,58,55,72,91,92,81,77,64,59,53,62,61,53,51,52,57,60,67,73,77,80,81
82,85,86,89,91,91,86,80,72,58,49,43,42,38,34,33,32,34,43,42,47,49,54,57
62,65,65,68,70,68,63,51,44,39,33,32,30,28,25,25,26,27,30,34,44,53,53,54
63,66,68,73,74,74,68,58,49,42,35,29,21,23,22,19,20,21,32,32,45,48,52,60
62,64,67,70,73,71,66,55,46,41,31,19,27,34,33,36,30,30,46,61,61,63,58,60
57,53,54,54,51,48,51,50,53,46,45,41,34,36,33,34,37,39,43,44,45,50,55,60
68,73,73,78,77,80,65,54,49,44,41,38,35,38,40,38,41,45,47,44,44,36,37,46
55,64,68,71,76,70,63,54,41,28,31,28,28,28,28,28,29,27,34,36,39,42,43,47
45,46,47,47,49,50,48,39,37,33,31,32,29,29,28,27,28,31,33,35,39,49,62,68
70,75,82,85,88,82,68,60,50,41,38,36,38,37,37,38,37,36,30,30,31,34,40,42
44,48,51,55,58,56,51,44,35,30,26,24,22,20,19,16,17,20,22,28,34,41,46,51
